[PORT 5000][2025-03-26 04:10:43][INFO] System created with ID: f5ee15d0-489c-47e5-b3cd-a4515a879780
[PORT 5000][2025-03-26 04:12:53][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 999, Latency: 3.03ms, Throughput: 329.7 MB/s
[PORT 5000][2025-03-26 04:18:23][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 355, Latency: 3.18ms, Throughput: 111.64 MB/s
[PORT 5000][2025-03-26 04:18:54][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 313, Latency: 7.39ms, Throughput: 42.35 MB/s
[PORT 5000][2025-03-26 04:19:25][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 389, Latency: 3.58ms, Throughput: 108.66 MB/s
[PORT 5000][2025-03-26 04:19:58][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 296, Latency: 5.65ms, Throughput: 52.39 MB/s
[PORT 5000][2025-03-26 04:20:33][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 428, Latency: 4.96ms, Throughput: 86.29 MB/s
[PORT 5000][2025-03-26 04:38:07][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 826, Latency: 4.76ms, Throughput: 173.53 MB/s
[PORT 5000][2025-03-26 04:38:37][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 522, Latency: 2.4ms, Throughput: 217.5 MB/s
[PORT 5000][2025-03-26 04:39:07][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 851, Latency: 3.44ms, Throughput: 247.38 MB/s
[PORT 5000][2025-03-26 04:39:37][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 275, Latency: 3.33ms, Throughput: 82.58 MB/s
[PORT 5000][2025-03-26 04:40:07][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 673, Latency: 8.72ms, Throughput: 77.18 MB/s
[PORT 5000][2025-03-26 04:40:37][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 219, Latency: 1.72ms, Throughput: 127.33 MB/s
[PORT 5000][2025-03-26 04:41:07][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 141, Latency: 1.24ms, Throughput: 113.71 MB/s
[PORT 5000][2025-03-26 04:41:38][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 209, Latency: 9.14ms, Throughput: 22.87 MB/s
[PORT 5000][2025-03-26 04:42:08][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 290, Latency: 6.64ms, Throughput: 43.67 MB/s
[PORT 5000][2025-03-26 04:42:38][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 570, Latency: 5.33ms, Throughput: 106.94 MB/s
[PORT 5000][2025-03-26 04:43:08][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 747, Latency: 1.05ms, Throughput: 711.43 MB/s
[PORT 5000][2025-03-26 04:43:38][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 457, Latency: 5.76ms, Throughput: 79.34 MB/s
[PORT 5000][2025-03-26 04:44:09][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 743, Latency: 1.35ms, Throughput: 550.37 MB/s
[PORT 5000][2025-03-26 04:44:40][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 526, Latency: 1.14ms, Throughput: 461.4 MB/s
[PORT 5000][2025-03-26 04:45:12][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 308, Latency: 8.83ms, Throughput: 34.88 MB/s
[PORT 5000][2025-03-26 04:45:47][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 562, Latency: 4.78ms, Throughput: 117.57 MB/s
[PORT 5000][2025-03-26 04:46:26][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 392, Latency: 1.4ms, Throughput: 280.0 MB/s
[PORT 5000][2025-03-26 04:47:15][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 127, Latency: 4.12ms, Throughput: 30.83 MB/s
[PORT 5000][2025-03-26 04:48:26][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 638, Latency: 2.05ms, Throughput: 311.22 MB/s
[PORT 5000][2025-03-26 04:50:18][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 822, Latency: 3.15ms, Throughput: 260.95 MB/s
[PORT 5000][2025-03-26 04:53:22][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 729, Latency: 7.01ms, Throughput: 103.99 MB/s
[PORT 5000][2025-03-26 04:57:38][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 493, Latency: 2.18ms, Throughput: 226.15 MB/s
[PORT 5000][2025-03-26 05:11:43][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 563, Latency: 6.49ms, Throughput: 86.75 MB/s
[PORT 5000][2025-03-26 05:12:13][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 743, Latency: 6.99ms, Throughput: 106.29 MB/s
[PORT 5000][2025-03-26 05:12:43][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 355, Latency: 4.17ms, Throughput: 85.13 MB/s
[PORT 5000][2025-03-26 05:13:13][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 333, Latency: 9.37ms, Throughput: 35.54 MB/s
[PORT 5000][2025-03-26 05:13:43][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 928, Latency: 6.29ms, Throughput: 147.54 MB/s
[PORT 5000][2025-03-26 05:14:13][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 598, Latency: 4.36ms, Throughput: 137.16 MB/s
[PORT 5000][2025-03-26 05:14:43][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 149, Latency: 9.99ms, Throughput: 14.91 MB/s
[PORT 5000][2025-03-26 05:15:13][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 605, Latency: 3.83ms, Throughput: 157.96 MB/s
[PORT 5000][2025-03-26 05:15:43][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 1000, Latency: 3.39ms, Throughput: 294.99 MB/s
[PORT 5000][2025-03-26 05:16:13][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 361, Latency: 8.4ms, Throughput: 42.98 MB/s
[PORT 5000][2025-03-26 05:17:23][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 914, Latency: 2.87ms, Throughput: 318.47 MB/s
[PORT 5000][2025-03-26 05:17:53][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 478, Latency: 7.29ms, Throughput: 65.57 MB/s
[PORT 5000][2025-03-26 05:18:23][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 191, Latency: 4.77ms, Throughput: 40.04 MB/s
[PORT 5000][2025-03-26 05:18:53][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 912, Latency: 2.38ms, Throughput: 383.19 MB/s
[PORT 5000][2025-03-26 05:19:23][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 475, Latency: 9.82ms, Throughput: 48.37 MB/s
[PORT 5000][2025-03-26 05:19:53][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 688, Latency: 1.35ms, Throughput: 509.63 MB/s
[PORT 5000][2025-03-26 05:20:23][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 648, Latency: 3.13ms, Throughput: 207.03 MB/s
[PORT 5000][2025-03-26 05:20:53][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 997, Latency: 3.89ms, Throughput: 256.3 MB/s
[PORT 5000][2025-03-26 05:21:23][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 902, Latency: 5.45ms, Throughput: 165.5 MB/s
[PORT 5000][2025-03-26 05:21:53][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 444, Latency: 9.33ms, Throughput: 47.59 MB/s
[PORT 5000][2025-03-26 05:22:49][INFO] Volume: 04bb3ad6-d4d7-41f4-98c4-6d6ccd954ee1, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 785, Latency: 6.17ms, Throughput: 127.23 MB/s
[PORT 5000][2025-03-26 05:23:19][INFO] Volume: 04bb3ad6-d4d7-41f4-98c4-6d6ccd954ee1, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 953, Latency: 8.62ms, Throughput: 110.56 MB/s
[PORT 5000][2025-03-26 05:23:49][INFO] Volume: 04bb3ad6-d4d7-41f4-98c4-6d6ccd954ee1, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 569, Latency: 2.94ms, Throughput: 193.54 MB/s
[PORT 5000][2025-03-26 05:24:19][INFO] Volume: 04bb3ad6-d4d7-41f4-98c4-6d6ccd954ee1, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 557, Latency: 1.98ms, Throughput: 281.31 MB/s
[PORT 5000][2025-03-26 05:24:49][INFO] Volume: 04bb3ad6-d4d7-41f4-98c4-6d6ccd954ee1, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 445, Latency: 8.89ms, Throughput: 50.06 MB/s
[PORT 5000][2025-03-26 05:26:10][INFO] Volume: cac847f7-feac-40c4-935d-9d994192eb12, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 213, Latency: 1.06ms, Throughput: 200.94 MB/s
[PORT 5000][2025-03-26 06:35:29][INFO] Volume: 8e24c202-c931-42dc-a012-996bf12a9fe8, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 892, Latency: 9.52ms, Throughput: 93.7 MB/s
[PORT 5000][2025-03-26 06:35:59][INFO] Volume: 8e24c202-c931-42dc-a012-996bf12a9fe8, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 696, Latency: 9.69ms, Throughput: 71.83 MB/s
[PORT 5000][2025-03-26 06:36:29][INFO] Volume: 8e24c202-c931-42dc-a012-996bf12a9fe8, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 372, Latency: 2.39ms, Throughput: 155.65 MB/s
[PORT 5000][2025-03-26 06:36:59][INFO] Volume: 8e24c202-c931-42dc-a012-996bf12a9fe8, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 183, Latency: 9.97ms, Throughput: 18.36 MB/s
[PORT 5000][2025-03-26 06:37:29][INFO] Volume: 8e24c202-c931-42dc-a012-996bf12a9fe8, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 405, Latency: 3.54ms, Throughput: 114.41 MB/s
[PORT 5000][2025-03-26 06:37:59][INFO] Volume: 8e24c202-c931-42dc-a012-996bf12a9fe8, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 126, Latency: 3.65ms, Throughput: 34.52 MB/s
[PORT 5000][2025-03-26 06:38:29][INFO] Volume: 8e24c202-c931-42dc-a012-996bf12a9fe8, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 286, Latency: 2.56ms, Throughput: 111.72 MB/s
[PORT 5000][2025-03-26 06:41:43][INFO] Volume: cac847f7-feac-40c4-935d-9d994192eb12, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 142, Latency: 9.53ms, Throughput: 14.9 MB/s
[PORT 5000][2025-03-26 06:42:13][INFO] Volume: cac847f7-feac-40c4-935d-9d994192eb12, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 690, Latency: 4.57ms, Throughput: 150.98 MB/s
[PORT 5000][2025-03-26 06:42:43][INFO] Volume: cac847f7-feac-40c4-935d-9d994192eb12, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 550, Latency: 3.34ms, Throughput: 164.67 MB/s
[PORT 5000][2025-03-26 11:55:00][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 198, Latency: 4.54ms, Throughput: 43.61 MB/s
[PORT 5000][2025-03-26 11:55:31][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 625, Latency: 5.5ms, Throughput: 113.64 MB/s
[PORT 5000][2025-03-26 11:56:01][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 932, Latency: 7.17ms, Throughput: 129.99 MB/s
[PORT 5000][2025-03-26 11:56:32][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 747, Latency: 4.09ms, Throughput: 182.64 MB/s
[PORT 5000][2025-03-26 11:57:03][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 838, Latency: 2.77ms, Throughput: 302.53 MB/s
[PORT 5000][2025-03-26 11:57:28][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 939, Latency: 5.26ms, Throughput: 178.52 MB/s
[PORT 5000][2025-03-26 11:57:34][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 877, Latency: 8.97ms, Throughput: 97.77 MB/s
[PORT 5000][2025-03-26 11:58:07][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 261, Latency: 4.73ms, Throughput: 55.18 MB/s
[PORT 5000][2025-03-26 11:58:10][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 553, Latency: 7.1ms, Throughput: 77.89 MB/s
[PORT 5000][2025-03-26 11:58:37][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 296, Latency: 9.06ms, Throughput: 32.67 MB/s
[PORT 5000][2025-03-26 11:58:40][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 229, Latency: 2.56ms, Throughput: 89.45 MB/s
[PORT 5000][2025-03-26 11:59:07][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 722, Latency: 4.85ms, Throughput: 148.87 MB/s
[PORT 5000][2025-03-26 11:59:10][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 998, Latency: 2.47ms, Throughput: 404.05 MB/s
[PORT 5000][2025-03-26 11:59:37][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 528, Latency: 2.42ms, Throughput: 218.18 MB/s
[PORT 5000][2025-03-26 11:59:40][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 448, Latency: 6.0ms, Throughput: 74.67 MB/s
[PORT 5000][2025-03-26 12:00:07][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 444, Latency: 1.7ms, Throughput: 261.18 MB/s
[PORT 5000][2025-03-26 12:00:10][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 264, Latency: 2.27ms, Throughput: 116.3 MB/s
[PORT 5000][2025-03-26 12:00:37][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 999, Latency: 9.48ms, Throughput: 105.38 MB/s
[PORT 5000][2025-03-26 12:00:40][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 540, Latency: 5.31ms, Throughput: 101.69 MB/s
[PORT 5000][2025-03-26 12:01:08][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 293, Latency: 5.29ms, Throughput: 55.39 MB/s
[PORT 5000][2025-03-26 12:01:11][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 797, Latency: 8.63ms, Throughput: 92.35 MB/s
[PORT 5000][2025-03-26 12:01:39][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 578, Latency: 6.67ms, Throughput: 86.66 MB/s
[PORT 5000][2025-03-26 12:01:43][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 819, Latency: 8.85ms, Throughput: 92.54 MB/s
[PORT 5000][2025-03-26 12:02:13][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 725, Latency: 2.17ms, Throughput: 334.1 MB/s
[PORT 5000][2025-03-26 12:02:23][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 742, Latency: 8.09ms, Throughput: 91.72 MB/s
[PORT 5000][2025-03-26 12:02:56][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 358, Latency: 8.61ms, Throughput: 41.58 MB/s
[PORT 5000][2025-03-26 12:03:05][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 562, Latency: 5.45ms, Throughput: 103.12 MB/s
[PORT 5000][2025-03-26 12:03:28][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 867, Latency: 7.88ms, Throughput: 110.03 MB/s
[PORT 5000][2025-03-26 12:03:35][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 472, Latency: 9.79ms, Throughput: 48.21 MB/s
[PORT 5000][2025-03-26 12:03:58][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 742, Latency: 4.28ms, Throughput: 173.36 MB/s
[PORT 5000][2025-03-26 12:04:05][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 768, Latency: 3.85ms, Throughput: 199.48 MB/s
[PORT 5000][2025-03-26 12:04:28][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 907, Latency: 4.18ms, Throughput: 216.99 MB/s
[PORT 5000][2025-03-26 12:04:35][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 173, Latency: 3.51ms, Throughput: 49.29 MB/s
[PORT 5000][2025-03-26 12:04:58][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 495, Latency: 3.48ms, Throughput: 142.24 MB/s
[PORT 5000][2025-03-26 12:05:05][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 355, Latency: 6.69ms, Throughput: 53.06 MB/s
[PORT 5000][2025-03-26 12:05:28][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 495, Latency: 5.49ms, Throughput: 90.16 MB/s
[PORT 5000][2025-03-26 12:05:35][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 143, Latency: 5.92ms, Throughput: 24.16 MB/s
[PORT 5000][2025-03-26 12:05:58][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 420, Latency: 3.99ms, Throughput: 105.26 MB/s
[PORT 5000][2025-03-26 12:06:06][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 884, Latency: 1.3ms, Throughput: 680.0 MB/s
[PORT 5000][2025-03-26 12:06:29][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 853, Latency: 9.69ms, Throughput: 88.03 MB/s
[PORT 5000][2025-03-26 12:06:38][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 458, Latency: 9.57ms, Throughput: 47.86 MB/s
[PORT 5000][2025-03-26 12:07:04][INFO] Volume: cbed47b3-7fca-4202-9469-59eafa935557, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 962, Latency: 9.72ms, Throughput: 98.97 MB/s
[PORT 5000][2025-03-26 12:07:17][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 156, Latency: 8.28ms, Throughput: 18.84 MB/s
[PORT 5000][2025-03-26 12:07:51][INFO] Volume: c87f181e-8a79-4ab0-8dce-a9f86ba6692e, Host: c723a957-9814-4638-94f2-f0101e2ef299, IOPS: 828, Latency: 6.12ms, Throughput: 135.29 MB/s
